OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude
60383,CASEYS #4399,"I-70, EXIT 175",New Florence,MO,392,2.949,38.1552716,-90.5498502
60392,Kangaroo Crossing #1107,"I-20, EXIT 68 & SR-43",Pelahatchie,MS,705,3.199,-29.8895882,152.9002848
60416,MINUTEMAN FOOD MART #20,US-74 & US-76,Whiteville                              ,NC,245,3.46066666,34.8123687,-78.9872307
60434,ENRITE,US-9,Linden,NJ,79,3.34233333,40.6771641,-74.0901103
60461,TRUE NORTH #704,"I-75, EXIT 56A",Dayton                                  ,OH,317,3.799,-37.623744,144.9177936
60465,MOTOMART #4129,ST 309,Marion                                  ,OH,411,3.34233333,-41.2048701,174.9100961
60471,FUEL MART #701,"I-480/I-271, EXIT 23 & SR-8",Bedford,OH,305,3.529,6.7872246,79.9645654
60473,BELL STORES #50,ST 3,Wooster,OH,249,3.599,40.9724803,-82.1099971
60476,PETES #11,US-75,Dewey,OK,560,3.154,-38.1591794,176.3007235
60515,FLASH MARKET #302,SR-9 & SR-151,Pageland,SC,46,3.38566666,13.9202713,100.6851717
60516,ENMARKET #892,"I-95, EXIT 150",Harleyville,SC,195,3.399,32.5034463,-80.2968859
60519,CORNER PANTRY #25,US-14,Huron,SD,571,3.079,43.8403364,-103.2006025
60538,TEXACO #380031,ST 21W,Bryan,TX,765,3.399,21.2773974,-157.7057999
60539,SHELL,US-96 & SR-62/FM-1004,Buna,TX,610,3.10233333,-25.2864234,-57.5711678
60551,CIRCLE K #2744522,"I-30, EXIT 201  I-30 & SR-8",New Boston,TX,766,2.94233333,30.1755249,-85.6243147
60554,CEFCO #2070,"I-27, EXIT 49",Plainview,TX,700,2.83233333,30.1505952,-85.5916889
60565,CEFCO #2006,"I-40, EXIT 163",Shamrock,TX,585,3.099,30.1505952,-85.5916889
60589,RIVER COUNTRY PLAZA,"SR-29, EXIT 91",Cadott,WI,295,3.39733333,43.3084253,-3.0080443
60590,DARLINGTON MINI MART,SR-23 & SR-81,Darlington,WI,420,3.399,34.1757008,-80.0589218
60601,HOLIDAY STATIONSTORE #2746229,US-53/US-2,Superior,WI,545,3.339,61.1405592,-149.9512868
60635,EXXON ON THE RUN,US-62/US-412 & SR-126,Gassville                               ,AR,535,3.695,40.8284926,-74.0939307
60700,PWI #502,"I-70/US-40, EXIT 259",Golden,CO,800,3.199,-6.2336662,106.8866389
60707,REATA TRAVEL STOP,"I-76, EXIT 125",Sterling,CO,800,3.399,40.2620244,-103.7733639
60762,BP,US-1 & US-341,Baxley,GA,195,3.599,51.507825,-0.134197
60779,Marathon,US-129,Eatonton                                ,GA,85,3.399,44.8914036,-89.7748098
60781,JP PERRY,"I-75, EXIT 138",Perry                                   ,GA,85,3.08233333,34.7038396,135.5357307
60783,CIRCLE K #2723324,US-441/US-23/SR-15 & SR-17A/SR-385,Clarkesville,GA,16,3.439,30.1755249,-85.6243147
60787,MARATHON,"I-20, EXIT 11",Lithia Springs,GA,48,2.87233333,44.8914036,-89.7748098
60788,SPRINT FOODS #722,US-1/SR-4/SR-17 & SR-24,Louisville                              ,GA,85,4.099,33.4925283,-81.9709895
60791,MARATHON #9,"I-475, EXIT 1",Macon,GA,85,3.039,51.566978,4.6523512
60795,CIRCLE K #2745080,US-319/US-129/SR-90/SR-11,Ocilla,GA,10,3.62566666,30.1755249,-85.6243147
60797,EVANS FOOD MART,SR-20,Rome,GA,193,3.699,38.6229682,-83.7866169
60817,KWIK STAR #712,US-218 & SR-27,Janesville,IA,565,3.599,42.4620622,-92.2976419
60822,CASEYS #3639,US-18/US-52,Postville,IA,420,3.599,33.6719974,-84.2874623
60846,EXPRESS LANE #50,"I-88, EXIT 10",Hillsdale                               ,IL,270,3.699,44.4747541,-70.8586471
60857,RED ROOSTER TERMINAL,US-50/SR-250 & SR-130,Olney,IL,510,3.189,38.7135983,-88.0918027
60871,WENONA BP,"I-39/US-51, EXIT 35 & SR-17",Wenona                                  ,IL,280,3.499,41.0525331,-89.0503587
